number,company,symbol,ytd_return
130,UNITED AIRLINES HOLDINGS INC,UAL,6.76%
131,CADENCE DESIGN SYS INC,CDNS,6.75%
132,CENTENE CORP,CNC,6.68%
133,INTERCONTINENTAL EXCHANGE IN,ICE,6.43%
134,CBOE GLOBAL MARKETS INC,CBOE,6.36%
135,JPMORGAN CHASE + CO,JPM,6.35%
136,VISA INC CLASS A SHARES,V,6.30%
137,NEWS CORP   CLASS A,NWSA,6.23%
138,CDW CORP/DE,CDW,6.17%
139,HOLOGIC INC,HOLX,6.12%
140,AMETEK INC,AME,6.01%
141,TEXTRON INC,TXT,5.97%
142,NUCOR CORP,NUE,5.93%
143,AMPHENOL CORP CL A,APH,5.92%
144,STERIS PLC,STE,5.91%
145,CORNING INC,GLW,5.91%
146,BANK OF NEW YORK MELLON CORP,BK,5.90%
147,NEWS CORP   CLASS B,NWS,5.87%
148,SERVICENOW INC,NOW,5.87%
149,NVR INC,NVR,5.67%
150,FIDELITY NATIONAL INFO SERV,FIS,5.63%
151,AUTOZONE INC,AZO,5.57%
152,SYNOPSYS INC,SNPS,5.57%
153,VALERO ENERGY CORP,VLO,5.50%
154,MARSH + MCLENNAN COS,MMC,5.47%
155,BOOKING HOLDINGS INC,BKNG,5.47%
156,ZIMMER BIOMET HOLDINGS INC,ZBH,5.46%
157,WESTROCK CO,WRK,5.37%
158,SIMON PROPERTY GROUP INC,SPG,5.36%
159,JACK HENRY + ASSOCIATES INC,JKHY,5.34%
160,PACKAGING CORP OF AMERICA,PKG,5.30%
161,LKQ CORP,LKQ,5.29%
162,QUALCOMM INC,QCOM,5.10%
163,HOME DEPOT INC,HD,5.07%
164,BIO RAD LABORATORIES A,BIO,4.88%
165,EXXON MOBIL CORP,XOM,4.87%
166,RESMED INC,RMD,4.81%
167,RAYMOND JAMES FINANCIAL INC,RJF,4.78%
168,CARDINAL HEALTH INC,CAH,4.74%
169,GENERAL DYNAMICS CORP,GD,4.71%
170,OLD DOMINION FREIGHT LINE,ODFL,4.71%
171,TJX COMPANIES INC,TJX,4.65%
172,ROSS STORES INC,ROST,4.65%
173,KROGER CO,KR,4.59%
174,WELLTOWER INC,WELL,4.52%
175,TARGET CORP,TGT,4.47%
176,ONEOK INC,OKE,4.43%
177,AVERY DENNISON CORP,AVY,4.34%
178,GENUINE PARTS CO,GPC,4.30%
179,GLOBAL PAYMENTS INC,GPN,4.30%
180,CHURCH + DWIGHT CO INC,CHD,4.28%
181,DOVER CORP,DOV,4.28%
182,MEDTRONIC PLC,MDT,4.27%
183,METLIFE INC,MET,4.25%
184,DOLLAR GENERAL CORP,DG,4.24%
185,CHEVRON CORP,CVX,4.21%
186,DAYFORCE INC,DAY,4.16%
187,THERMO FISHER SCIENTIFIC INC,TMO,4.16%
188,AMERIPRISE FINANCIAL INC,AMP,4.09%
189,GLOBE LIFE INC,GL,4.00%
190,PIONEER NATURAL RESOURCES CO,PXD,3.94%
191,EQUIFAX INC,EFX,3.94%
192,GARMIN LTD,GRMN,3.92%
193,COCA COLA CO/THE,KO,3.92%
194,SYNCHRONY FINANCIAL,SYF,3.85%
195,PRUDENTIAL FINANCIAL INC,PRU,3.81%
196,HOST HOTELS + RESORTS INC,HST,3.80%
197,VERALTO CORP,VLTO,3.77%
198,MOTOROLA SOLUTIONS INC,MSI,3.75%
199,AUTODESK INC,ADSK,3.71%
200,COOPER COS INC/THE,COO,3.67%
201,PAYCHEX INC,PAYX,3.63%
202,YUM  BRANDS INC,YUM,3.50%
203,TYLER TECHNOLOGIES INC,TYL,3.49%
204,ALLEGION PLC,ALLE,3.49%
205,ASSURANT INC,AIZ,3.39%
206,STEEL DYNAMICS INC,STLD,3.34%
207,HERSHEY CO/THE,HSY,3.25%
208,ELECTRONIC ARTS INC,EA,3.19%
209,FIRSTENERGY CORP,FE,3.16%
210,VERTEX PHARMACEUTICALS INC,VRTX,3.13%
211,HESS CORP,HES,3.01%
212,CAPITAL ONE FINANCIAL CORP,COF,2.97%
213,ACCENTURE PLC CL A,ACN,2.85%
214,CINTAS CORP,CTAS,2.65%
215,PENTAIR PLC,PNR,2.64%
216,ORACLE CORP,ORCL,2.59%
217,BROWN FORMAN CORP CLASS B,BF.B,2.57%
218,COGNIZANT TECH SOLUTIONS A,CTSH,2.57%
219,IQVIA HOLDINGS INC,IQV,2.55%
220,COTERRA ENERGY INC,CTRA,2.51%
221,OTIS WORLDWIDE CORP,OTIS,2.47%
222,NXP SEMICONDUCTORS NV,NXPI,2.46%
223,OMNICOM GROUP,OMC,2.44%
224,LYONDELLBASELL INDU CL A,LYB,2.42%
225,DOLLAR TREE INC,DLTR,2.38%
226,LOWE S COS INC,LOW,2.35%
227,EVEREST GROUP LTD,EG,2.35%
228,UNION PACIFIC CORP,UNP,2.32%
229,T MOBILE US INC,TMUS,2.32%
230,INTUIT INC,INTU,2.12%
231,AXON ENTERPRISE INC,AXON,2.09%
232,CME GROUP INC,CME,2.09%
233,DOMINO S PIZZA INC,DPZ,2.07%
234,ALPHABET INC CL C,GOOG,2.06%
235,MOLSON COORS BEVERAGE CO   B,TAP,2.06%
236,ALPHABET INC CL A,GOOGL,2.05%
237,CHARLES RIVER LABORATORIES,CRL,1.99%
238,LENNAR CORP A,LEN,1.97%
239,WESTERN DIGITAL CORP,WDC,1.95%
240,MONDELEZ INTERNATIONAL INC A,MDLZ,1.89%
241,HUNT (JB) TRANSPRT SVCS INC,JBHT,1.72%
242,DOW INC,DOW,1.66%
243,AMERICAN ELECTRIC POWER,AEP,1.65%
244,CONSTELLATION BRANDS INC A,STZ,1.60%
245,T ROWE PRICE GROUP INC,TROW,1.52%
246,L3HARRIS TECHNOLOGIES INC,LHX,1.51%
247,AMERICAN INTERNATIONAL GROUP,AIG,1.37%
248,DELTA AIR LINES INC,DAL,1.32%
249,AT+T INC,T,1.31%
250,DARDEN RESTAURANTS INC,DRI,1.30%
251,OCCIDENTAL PETROLEUM CORP,OXY,1.27%
252,PRINCIPAL FINANCIAL GROUP,PFG,1.25%
253,JOHNSON + JOHNSON,JNJ,1.24%
254,HUNTINGTON BANCSHARES INC,HBAN,1.18%
255,F5 INC,FFIV,1.18%
256,WEST PHARMACEUTICAL SERVICES,WST,1.16%
257,KELLANOVA,K,0.97%
258,PTC INC,PTC,0.95%
259,FOX CORP   CLASS A,FOXA,0.94%
260,EXELON CORP,EXC,0.86%
261,ESTEE LAUDER COMPANIES CL A,EL,0.84%
262,SHERWIN WILLIAMS CO/THE,SHW,0.77%
263,GENERAL MILLS INC,GIS,0.72%
264,ROPER TECHNOLOGIES INC,ROP,0.71%
265,DIGITAL REALTY TRUST INC,DLR,0.71%
266,GOLDMAN SACHS GROUP INC,GS,0.65%
267,TELEFLEX INC,TFX,0.65%
268,BECTON DICKINSON AND CO,BDX,0.61%
269,EPAM SYSTEMS INC,EPAM,0.50%
